,start_lat,start_lng,end_lat,end_lng
1588,40.736136783333336,-74.02936768333333,40.78232260730881,-73.95987510681152
1939,40.70362493333333,-74.0384837,,
2126,40.736136783333336,-74.02936768333333,40.8078316,-73.949373
4744,40.736136783333336,-74.02936768333333,40.7849032,-73.950503
8765,40.73144713333333,-74.02434595,40.69425403,-73.94626915
9928,40.74491796666667,-74.02528685,,
11739,40.75607193333333,-74.02587686666666,,
19972,40.736136783333336,-74.02936768333333,40.803399,-73.919763
20643,40.735011766666666,-74.01998035,40.6893952,-73.9995126
31328,40.736136783333336,-74.02936768333333,40.830471,-73.904556
33415,40.735011766666666,-74.01998035,,
33847,40.73144713333333,-74.02434595,,
37921,40.678334066666665,-74.05023276666667,40.72028,-73.99879
39739,40.736136783333336,-74.02936768333333,,
41037,40.736136783333336,-74.02936768333333,40.826706,-73.888719
41306,40.732289116666664,-74.04747546666667,40.73153937464073,-73.9853024482727
46991,40.73248316666667,-74.02446778333334,,
52474,40.736136783333336,-74.02936768333333,40.826303,-73.898751
58410,40.736136783333336,-74.02936768333333,40.833246,-73.896599
61827,40.73144713333333,-74.02434595,,
63243,40.736136783333336,-74.02936768333333,40.76873687,-73.96119945
70855,40.75287115,-74.02399276666667,40.71473993,-74.00910627
84265,40.736136783333336,-74.02936768333333,40.830051,-73.892103
86104,40.791188033333334,-73.99886101666667,,
97483,40.736136783333336,-74.02936768333333,40.78866499127883,-73.96680057048798
97515,40.72864855,-74.05340576666667,40.70411791,-73.94818595
65,40.79953315,-74.00455576666667,,
139,40.7310357,-74.06464921666667,,
642,40.7310357,-74.06464921666667,,
1067,40.723113775,-74.067353129,40.76712840349542,-73.96224617958069
6727,40.7310357,-74.06464921666667,,
26423,40.7310357,-74.06464921666667,40.74349759836971,-73.91860529780388
26612,40.7310357,-74.06464921666667,40.7633589,-73.9286471
27858,40.75269876666667,-74.023692,40.707174,-73.93581
28702,40.7310357,-74.06464921666667,,
28842,40.7310357,-74.06464921666667,40.76663971723091,-73.9286595582962
52434,40.7571466,-74.03120851666667,40.73716919369882,-73.98122549057007
58402,40.71460973333333,-74.06747018333333,40.7667405590595,-73.9790689945221
85,40.72612856666667,-74.03436933333333,40.67428,-73.9503
115,40.72612856666667,-74.03436933333333,40.6729679,-73.97087984
229,40.72612856666667,-74.03436933333333,40.64958,-73.96316
